Card,Tipo,Cidade,Bairro,Dormitorios,Suites,Banheiros,Vagas,Area_construida,Valor
https://www.lindalvoimoveis.com.br/imovel/apartamento-com-2-dormitorios-a-venda-120-m-por-220000-centro-rio-grande-rs/AP0584-LINL?from=sale,Apartamento,Rio Grande,Centro,2,0,2,1,120.0,220000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-270-m-na-rua-vice-almirante-abreu-centro-rio-grande-rs-a-venda-por-424000/CA0488-LINL?from=sale,Casa,Rio Grande,Centro,4,0,2,2,270.0,424000.0
https://www.lindalvoimoveis.com.br/imovel/casa-muito-ampla-com-4-dormitorio-garagem-p-3-carros-com-patio-arborizado-aceita-financiamento-e-aceita-permuta-ap-de-3-dorm/CA0930-LINL?from=sale,Casa,Rio Grande,Centro,4,0,2,3,260.0,750000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-94-m-na-rua-quatro-zona-portuaria-rio-grande-rs-a-venda-por-96000/SO0108-LINL?from=sale,Sobrado,Rio Grande,Zona Portuária,2,0,2,1,94.0,96000.0
https://www.lindalvoimoveis.com.br/imovel/apartamento-de-68-m-na-avenida-italia-vila-maria-jose-rio-grande-rs-a-venda-por-150000/AP0726-LINL?from=sale,Apartamento,Rio Grande,Vila Maria José,2,0,1,1,68.0,150000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-60-m-na-rua-visconde-de-maua-cidade-nova-rio-grande-rs-a-venda-por-180000/CA0400-LINL?from=sale,Casa,Rio Grande,Cidade Nova,2,0,1,1,60.0,180000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-50-m-na-rua-abdala-nader-getulio-vargas-rio-grande-rs-a-venda-por-80000/CA0238-LINL?from=sale,Casa,Rio Grande,Getúlio Vargas,1,0,1,1,50.0,80000.0
https://www.lindalvoimoveis.com.br/imovel/casa-de-100-m-na-rua-ferroviario-antonio-de-souza-netto-cassino-rio-grande-rs-a-venda-por-350000/CA0148-LINL?from=sale,Casa,Rio Grande,Cassino,3,0,2,4,100.0,350000.0
https://www.lindalvoimoveis.com.br/imovel/casa-a-venda-vila-santa-rosa-rio-grande-rs/CA0800-LINL?from=sale,Casa,Rio Grande,Vila Santa Rosa,2,0,1,1,80.0,150000.0
https://www.lindalvoimoveis.com.br/imovel/2-casas-no-mesmo-terreno-aceita-permuta-por-casa-menor-ou-2-apartamentos/CA0962-LINL?from=sale,Casa,Rio Grande,Vila Nossa Senhora dos Navegantes,3,0,2,1,59.0,280000.0
https://www.lindalvoimoveis.com.br/imovel/sobrado-de-569-m-na-rua-apelles-porto-alegre-centro-rio-grande-rs-a-venda-por-580000/SO0148-LINL?from=sale,Sobrado,Rio Grande,Centro,6,0,2,2,569.0,580000.0
